model,view,threshold,n_train,n_fraud_train,pr_auc,roc_auc,precision,recall,f1,accuracy,balanced_accuracy,mcc,specificity,tp,fp,tn,fn,n_test,n_fraud_test
xgboost,decile_9_all,0.4625549614429474,88711,37773,0.8511915610664021,0.9305081325546463,0.7530627064252419,0.9330179644194213,0.8334370301239177,0.8748624460739919,0.8892555746177423,0.7458679424468365,0.8454931848160633,32149,10542,57688,2308,102687,34457
xgboost,decile_9_templated_excluded,0.4625549614429474,88711,37773,0.7510071518649103,0.9168230724075919,0.6836134453781513,0.9533735141469948,0.7962665175138083,0.8734721347777946,0.899433349481529,0.7286848013459241,0.8454931848160633,22778,10542,57688,1114,92122,23892
lightgbm,decile_9_all,0.1578478968501654,88711,37773,0.9153094805862609,0.9732920472759794,0.8339676962865369,0.9919900165423572,0.9061410601381176,0.9310428778715903,0.9461269150570499,0.8603020717026952,0.9002638135717427,34181,6805,61425,276,102687,34457
lightgbm,decile_9_templated_excluded,0.1578478968501654,88711,37773,0.8397931335100648,0.9656442961399971,0.7763058413595871,0.9884480160723255,0.8696260563769264,0.9231345389809166,0.9443559148220341,0.8282130233430229,0.9002638135717427,23616,6805,61425,276,92122,23892
random_forest,decile_9_all,0.3638885205805485,88711,37773,0.8919357806837117,0.9663582838546597,0.8641798671435871,0.7362219578024785,0.7950855638437911,0.8726615832578613,0.8388936258307425,0.7083240794647241,0.9415652938590063,25368,3987,64243,9089,102687,34457
random_forest,decile_9_templated_excluded,0.3638885205805485,88711,37773,0.8085443662372741,0.9586422427230614,0.7878465386047997,0.6197053406998159,0.6937331615321541,0.8580903584377239,0.7806353172794112,0.6104503137247133,0.9415652938590063,14806,3987,64243,9086,92122,23892
logistic_regression,decile_9_all,0.24694928792820306,88711,37773,0.8693271017368167,0.920294123127828,0.6559959141981614,0.9319151406100357,0.7699833347320968,0.8131701189050221,0.8425587721224002,0.6477067892247095,0.7532024036347648,32111,16839,51391,2346,102687,34457
logistic_regression,decile_9_templated_excluded,0.24694928792820306,88711,37773,0.8508967829787141,0.923544294505793,0.5718317737998373,0.9412774150343212,0.7114520721290731,0.8019799830659343,0.847239909334543,0.6153615462730742,0.7532024036347648,22489,16839,51391,1403,92122,23892
